,X,Y,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5, Prediction / output  label
0,302218.87,173589.39,342.25,18.5,18.46,7.97,18.5,0
1,302318.87,173589.39,272.25,16.5,13.7,8.62,16.5,0
2,302418.87,173589.39,1122.25,33.5,29.6,49.21,33.5,1
3,302118.87,173689.39,30.25,5.5,7.96,-7.54,5.5,0
4,302218.87,173689.39,72.25,8.5,8.62,0.92,8.5,0
5,302318.87,173689.39,506.25,22.5,20.42,16.6,22.5,0
6,302418.87,173689.39,1056.25,32.5,27.88,48.71,32.5,1
7,302518.87,173689.39,2256.25,47.5,42.64,40.5,47.5,1
8,302018.87,173789.39,110.25,10.5,-7.55,49.61,10.5,0
9,302118.87,173789.39,2.25,1.5,0.91,-18.08,1.5,0
10,302218.87,173789.39,272.25,16.5,16.6,-6.44,16.5,0
11,302318.87,173789.39,650.25,25.5,22.97,3.06,25.5,1
12,302418.87,173789.39,2352.25,48.5,46.98,9.59,48.5,1
13,302518.87,173789.39,1640.25,40.5,38.57,43.61,40.5,1
14,302618.87,173789.39,2450.25,49.5,49.38,39.77,49.5,1
15,301918.87,173889.39,462.25,21.5,-18.1,55.51,21.5,0
16,302018.87,173889.39,110.25,10.5,-6.47,57.68,10.5,0
17,302118.87,173889.39,0.25,0.5,3.05,29.03,0.5,0
18,302218.87,173889.39,90.25,9.5,9.59,-12.42,9.5,0
19,302318.87,173889.39,1806.25,42.5,41.47,-4.39,42.5,1
20,302418.87,173889.39,1560.25,39.5,39.71,3.26,39.5,1
21,302518.87,173889.39,2862.25,53.5,55.7,43.75,53.5,1
22,302618.87,173889.39,3306.25,57.5,57.24,52.5,57.5,1
23,302718.87,173889.39,420.25,20.5,29.06,60.51,20.5,0
24,302818.87,173889.39,42.25,6.5,-2.82,44.6,6.5,0
25,301918.87,173989.39,306.25,17.5,-12.43,32.59,17.5,0
26,302018.87,173989.39,90.25,9.5,-4.39,26.01,9.5,0
27,302118.87,173989.39,0.25,0.5,3.23,-2.16,0.5,0
28,302218.87,173989.39,420.25,20.5,20.36,10.15,20.5,0
29,302318.87,173989.39,1722.25,41.5,38.57,56.04,41.5,1
30,302418.87,173989.39,2756.25,52.5,49.62,36.84,52.5,1
31,302518.87,173989.39,3540.25,59.5,60.54,65.57,59.5,1
32,302618.87,173989.39,1806.25,42.5,44.62,39.09,42.5,1
33,302718.87,173989.39,182.25,13.5,32.68,31.61,13.5,0
34,302818.87,173989.39,342.25,18.5,14.73,-13.1,18.5,0
35,302918.87,173989.39,272.25,16.5,26.04,-14.59,16.5,0
36,301818.87,174089.39,110.25,10.5,-16.81,-2.06,10.5,0
37,301918.87,174089.39,6.25,2.5,-6.79,50.18,2.5,0
38,302018.87,174089.39,20.25,4.5,-2.17,36.82,4.5,0
39,302118.87,174089.39,56.25,7.5,10.16,38.56,7.5,0
40,302218.87,174089.39,756.25,27.5,26.7,46.26,27.5,1
41,302318.87,174089.39,2970.25,54.5,51.55,49.07,54.5,1
42,302418.87,174089.39,1190.25,34.5,36.81,56.34,34.5,1
43,302518.87,174089.39,4290.25,65.5,65.42,39.53,65.5,1
44,302618.87,174089.39,930.25,30.5,39.11,-4.01,30.5,1
45,302718.87,174089.39,1332.25,36.5,30.03,2.52,36.5,1
46,302818.87,174089.39,870.25,29.5,31.65,-3.69,29.5,1
47,302918.87,174089.39,1332.25,36.5,29.9,19.73,36.5,1
48,303018.87,174089.39,1260.25,35.5,34.34,46.68,35.5,1
49,301718.87,174189.39,210.25,14.5,-13.1,56.89,14.5,0
50,301818.87,174189.39,110.25,10.5,-14.06,50.53,10.5,0
51,301918.87,174189.39,30.25,5.5,-11.3,53.2,5.5,0
52,302018.87,174189.39,306.25,17.5,-14.6,57.3,17.5,0
53,302118.87,174189.39,30.25,5.5,-2.06,53.38,5.5,0
54,302218.87,174189.39,1190.25,34.5,32.64,52.78,34.5,1
55,302318.87,174189.39,1806.25,42.5,34.54,39.61,42.5,1
56,302418.87,174189.39,2162.25,46.5,50.16,-7.45,46.5,1
57,302518.87,174189.39,1332.25,36.5,36.68,11.77,36.5,1
58,302618.87,174189.39,1406.25,37.5,33.13,11,37.5,1
59,302718.87,174189.39,1722.25,41.5,40.75,-1.69,41.5,1
60,302818.87,174189.39,1406.25,37.5,46.32,10.33,37.5,1
61,302918.87,174189.39,2070.25,45.5,43.52,41.34,45.5,1
62,303018.87,174189.39,2970.25,54.5,49.59,53.99,54.5,1
63,303118.87,174189.39,1190.25,34.5,39.5,49.43,34.5,1
64,301618.87,174289.39,210.25,14.5,-4.08,44.5,14.5,0
65,301718.87,174289.39,6.25,2.5,2.5,32,2.5,0
66,301818.87,174289.39,30.25,5.5,-6.17,47.03,5.5,0
67,301918.87,174289.39,156.25,12.5,8.14,1.99,12.5,0
68,302018.87,174289.39,132.25,11.5,-3.72,34.07,11.5,0
69,302118.87,174289.39,210.25,14.5,19.75,18.97,14.5,0
70,302218.87,174289.39,600.25,24.5,21.55,20.41,24.5,1
71,302318.87,174289.39,2162.25,46.5,43.89,1.31,46.5,1
72,302418.87,174289.39,3080.25,55.5,56.88,5.93,55.5,1
73,302518.87,174289.39,2550.25,50.5,49.7,35.08,50.5,1
74,302618.87,174289.39,2652.25,51.5,48.71,40.96,51.5,1
75,302718.87,174289.39,2970.25,54.5,57.3,59.39,54.5,1
76,302818.87,174289.39,2652.25,51.5,48.44,41.56,51.5,1
77,302918.87,174289.39,2652.25,51.5,48.91,41.63,51.5,1
78,303018.87,174289.39,1260.25,35.5,39.56,28.74,35.5,1
79,303118.87,174289.39,240.25,15.5,8.47,13.7,15.5,0
80,303218.87,174289.39,56.25,7.5,-7.45,4.12,7.5,0
81,301518.87,174389.39,600.25,24.5,13.42,14.17,24.5,1
82,301618.87,174389.39,1122.25,33.5,15.87,50.9,33.5,1
83,301718.87,174389.39,42.25,6.5,11.74,45.13,6.5,0
84,301818.87,174389.39,90.25,9.5,11,34.96,9.5,0
85,301918.87,174389.39,2.25,1.5,-2.12,41.37,1.5,0
86,302018.87,174389.39,90.25,9.5,-1.7,27.82,9.5,0
87,302118.87,174389.39,56.25,7.5,10.3,8.77,7.5,0
88,302218.87,174389.39,812.25,28.5,23.92,18.36,28.5,1
89,302318.87,174389.39,1406.25,37.5,41.3,31.56,37.5,1
90,302418.87,174389.39,1406.25,37.5,36.79,38.39,37.5,1
91,302518.87,174389.39,1980.25,44.5,53.92,25.7,44.5,1
92,302618.87,174389.39,2256.25,47.5,47.47,38.6,47.5,1
93,302718.87,174389.39,1980.25,44.5,43.74,5.82,44.5,1
94,302818.87,174389.39,992.25,31.5,31.98,11.7,31.5,1
95,302918.87,174389.39,1640.25,40.5,47.01,25.34,40.5,1
96,303018.87,174389.39,1056.25,32.5,29.46,25.7,32.5,1
97,303118.87,174389.39,0.25,0.5,-2.3,0.97,0.5,0
98,303218.87,174389.39,132.25,11.5,10.96,37,11.5,0
99,303318.87,174389.39,2.25,1.5,1.99,45.85,1.5,0
100,301418.87,174489.39,930.25,30.5,34.08,39.84,30.5,1
101,301518.87,174489.39,600.25,24.5,19.96,11.32,24.5,1
102,301618.87,174489.39,2162.25,46.5,36.43,18.99,46.5,1
103,301718.87,174489.39,72.25,8.5,18.97,28.69,8.5,0
104,301818.87,174489.39,272.25,16.5,20.4,21.36,16.5,0
105,301918.87,174489.39,72.25,8.5,5.23,13.42,8.5,0
106,302018.87,174489.39,72.25,8.5,1.31,29.7,8.5,0
107,302118.87,174489.39,12.25,3.5,5.92,16.64,3.5,0
108,302218.87,174489.39,1190.25,34.5,28.14,11.48,34.5,1
109,302318.87,174489.39,930.25,30.5,35.06,39.93,30.5,1
110,302418.87,174489.39,2070.25,45.5,42.78,53,45.5,1
111,302518.87,174489.39,1332.25,36.5,40.89,50,36.5,1
112,302618.87,174489.39,2970.25,54.5,50.56,46.89,54.5,1
113,302718.87,174489.39,1482.25,38.5,41.55,37.8,38.5,1
114,302818.87,174489.39,1722.25,41.5,41.42,17.8,41.5,1
115,302918.87,174489.39,812.25,28.5,28.73,16.74,28.5,1
116,303018.87,174489.39,182.25,13.5,13.65,10.7,13.5,0
117,303118.87,174489.39,12.25,3.5,4.16,23.06,3.5,0
118,303218.87,174489.39,12.25,3.5,2.16,28.17,3.5,0
119,303318.87,174489.39,182.25,13.5,14.17,25.59,13.5,0
120,301318.87,174589.39,1722.25,41.5,50.93,4.03,41.5,1
121,301418.87,174589.39,1560.25,39.5,45.18,9.64,39.5,1
122,301518.87,174589.39,1190.25,34.5,34.96,-2.24,34.5,1
123,301618.87,174589.39,2756.25,52.5,45.56,17.54,52.5,1
124,301718.87,174589.39,552.25,23.5,41.41,40.21,23.5,0
125,301818.87,174589.39,506.25,22.5,27.82,40.04,22.5,0
126,301918.87,174589.39,240.25,15.5,10.77,46.99,15.5,0
127,302018.87,174589.39,0.25,0.5,8.77,53.9,0.5,0
128,302118.87,174589.39,306.25,17.5,18.35,36.46,17.5,0
129,302218.87,174589.39,702.25,26.5,23.56,39.79,26.5,1
130,302318.87,174589.39,870.25,29.5,31.55,11.01,29.5,1
131,302418.87,174589.39,1406.25,37.5,30.24,17.81,37.5,1
132,302518.87,174589.39,1406.25,37.5,38.39,11.98,37.5,1
133,302618.87,174589.39,420.25,20.5,25.6,11.33,20.5,0
134,302718.87,174589.39,1122.25,33.5,31.08,27.75,33.5,1
135,302818.87,174589.39,1190.25,34.5,38.54,7.85,34.5,1
136,302918.87,174589.39,240.25,15.5,8.98,14.67,15.5,0
137,303018.87,174589.39,156.25,12.5,12.41,25.8,12.5,0
138,303118.87,174589.39,20.25,4.5,5.88,32.55,4.5,0
139,303218.87,174589.39,110.25,10.5,11.71,47.86,10.5,0
140,303318.87,174589.39,600.25,24.5,25.33,53.08,24.5,1
141,303518.87,174589.39,420.25,20.5,25.74,53.23,20.5,0
142,303618.87,174589.39,0.25,0.5,0.96,50.21,0.5,0
143,301218.87,174689.39,1190.25,34.5,28.86,47.82,34.5,1
144,301318.87,174689.39,2550.25,50.5,39.88,48.35,50.5,1
145,301418.87,174689.39,870.25,29.5,37,33.12,29.5,1
146,301518.87,174689.39,1806.25,42.5,45.86,14.32,42.5,1
147,301618.87,174689.39,2756.25,52.5,48.95,-2.24,52.5,1
148,301718.87,174689.39,1892.25,43.5,33.44,5.51,43.5,1
149,301818.87,174689.39,1190.25,34.5,39.86,8.78,34.5,1
150,301918.87,174689.39,702.25,26.5,21.8,6.67,26.5,1
151,302018.87,174689.39,20.25,4.5,11.29,8.56,4.5,0
152,302118.87,174689.39,240.25,15.5,14.88,-4.32,15.5,0
153,302218.87,174689.39,156.25,12.5,18.99,-24.2,12.5,0
154,302318.87,174689.39,342.25,18.5,17.59,36.18,18.5,0
155,302418.87,174689.39,552.25,23.5,28.65,59.83,23.5,0
156,302518.87,174689.39,870.25,29.5,26.91,51.95,29.5,1
157,302618.87,174689.39,272.25,16.5,21.35,49.72,16.5,0
158,302718.87,174689.39,756.25,27.5,17.94,40.69,27.5,1
