,X,Y,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Prediction/ output Label 
0,302322.58,173556,1640.25,40.5,-45.59,-12.69,40.5,1
1,302422.58,173556,3306.25,57.5,-57.92,-45.36,57.5,0
2,302122.58,173656,182.25,13.5,-13.07,-20.45,13.5,0
3,302222.58,173656,2970.25,54.5,-45.35,-36.97,54.5,1
4,302322.58,173656,2070.25,45.5,-51.21,9.19,45.5,1
5,302422.58,173656,2352.25,48.5,-51.52,39.38,48.5,1
6,302522.58,173656,1056.25,32.5,-20.43,-9.58,32.5,0
7,302122.58,173756,650.25,25.5,-26.09,-42.51,25.5,0
8,302222.58,173756,1892.25,43.5,-36.9,-45.3,43.5,1
9,302322.58,173756,3906.25,62.5,-63.43,-30.01,62.5,1
10,302422.58,173756,1190.25,34.5,-38.6,41.89,34.5,0
11,302522.58,173756,12.25,3.5,9.19,-19.13,3.5,0
12,302622.58,173756,992.25,31.5,39.46,-29.11,31.5,0
13,302022.58,173856,182.25,13.5,-9.54,-60.64,13.5,0
14,302122.58,173856,506.25,22.5,-25.83,5.69,22.5,0
15,302222.58,173856,2352.25,48.5,-42.47,43,48.5,1
16,302322.58,173856,2070.25,45.5,-45.33,-10.63,45.5,1
17,302422.58,173856,1980.25,44.5,-30.04,-18.28,44.5,1
18,302522.58,173856,1260.25,35.5,29.16,18.33,35.5,0
19,302622.58,173856,1640.25,40.5,41.92,2.59,40.5,1
20,302722.58,173856,42.25,6.5,5.5,-10.86,6.5,0
21,301922.58,173956,380.25,19.5,-19.82,-17.2,19.5,0
22,302022.58,173956,992.25,31.5,-29.1,-16.75,31.5,0
23,302122.58,173956,1122.25,33.5,-38.81,-11.32,33.5,0
24,302222.58,173956,3782.25,61.5,-60.66,7.1,61.5,1
25,302322.58,173956,2450.25,49.5,-51.93,24.57,49.5,1
26,302422.58,173956,2.25,1.5,5.71,-5.17,1.5,0
27,302522.58,173956,1722.25,41.5,42.95,-9.5,41.5,1
28,302622.58,173956,72.25,8.5,2.16,0.63,8.5,0
29,302722.58,173956,30.25,5.5,-13.7,11.51,5.5,0
30,302822.58,173956,182.25,13.5,-13.77,-23.04,13.5,0
31,301822.58,174056,156.25,12.5,-15.3,-49.32,12.5,0
32,301922.58,174056,506.25,22.5,-18.27,30.63,22.5,0
33,302022.58,174056,992.25,31.5,-32.43,41.5,31.5,0
34,302122.58,174056,2352.25,48.5,-57.08,0.87,48.5,1
35,302222.58,174056,2756.25,52.5,-55.89,6.64,52.5,1
36,302322.58,174056,110.25,10.5,-3.86,5.14,10.5,0
37,302422.58,174056,992.25,31.5,23.37,-21.35,31.5,0
38,302522.58,174056,156.25,12.5,18.38,-17.14,12.5,0
39,302622.58,174056,56.25,7.5,2.63,12.71,7.5,0
40,302722.58,174056,0.25,0.5,-1.96,-34,0.5,0
41,302822.58,174056,156.25,12.5,-10.92,-32.86,12.5,0
42,302922.58,174056,6.25,2.5,-2.71,-43.26,2.5,0
43,301722.58,174156,462.25,21.5,-23.39,-68.39,21.5,0
44,301822.58,174156,552.25,23.5,-17.11,-21.36,23.5,0
45,301922.58,174156,342.25,18.5,-16.73,14.85,18.5,0
46,302022.58,174156,552.25,23.5,-28.07,27.53,23.5,0
47,302122.58,174156,1722.25,41.5,-47.78,33.5,41.5,1
48,302222.58,174156,3192.25,56.5,-57.39,14.98,56.5,1
49,302322.58,174156,506.25,22.5,-11.3,-30.09,22.5,0
50,302422.58,174156,0.25,0.5,7.15,3.62,0.5,0
51,302522.58,174156,600.25,24.5,24.26,-48.74,24.5,0
52,302622.58,174156,42.25,6.5,-5.15,-30.68,6.5,0
53,302722.58,174156,110.25,10.5,-9.55,-36.39,10.5,0
54,302822.58,174156,0.25,0.5,-0.55,-37.56,0.5,0
55,302922.58,174156,0.25,0.5,0.37,-58.02,0.5,0
56,303022.58,174156,132.25,11.5,11.34,14.88,11.5,0
57,303122.58,174156,182.25,13.5,-16.9,-1.31,13.5,0
58,301622.58,174256,992.25,31.5,-32.73,-29.72,31.5,0
59,301722.58,174256,552.25,23.5,-33.06,7.51,23.5,0
60,301822.58,174256,756.25,27.5,-22.99,-30.5,27.5,0
61,301922.58,174256,1056.25,32.5,-33.84,-46.37,32.5,0
62,302022.58,174256,3192.25,56.5,-60.93,-44.71,56.5,1
63,302122.58,174256,2970.25,54.5,-59.2,-42.7,54.5,1
64,302222.58,174256,2652.25,51.5,-49.36,-28.59,51.5,1
65,302322.58,174256,462.25,21.5,-23.38,-35.68,21.5,0
66,302422.58,174256,756.25,27.5,22.58,-49.57,27.5,0
67,302522.58,174256,1722.25,41.5,37.93,-17.77,41.5,1
68,302622.58,174256,2.25,1.5,-1.57,-36.05,1.5,0
69,302722.58,174256,0.25,0.5,0.87,-6.78,0.5,0
70,302822.58,174256,6.25,2.5,6.68,10.11,2.5,0
71,302922.58,174256,12.25,3.5,5.16,-41.34,3.5,0
72,303022.58,174256,462.25,21.5,-21.35,43.75,21.5,0
73,303122.58,174256,380.25,19.5,-17.14,-51.46,19.5,0
74,303222.58,174256,156.25,12.5,12.86,-34.82,12.5,0
75,301522.58,174356,1190.25,34.5,-34,-41.27,34.5,0
76,301622.58,174356,702.25,26.5,-33.44,-37.33,26.5,0
77,301722.58,174356,1332.25,36.5,-32.79,-50.17,36.5,0
78,301822.58,174356,1892.25,43.5,-43.25,-32.9,43.5,1
79,301922.58,174356,1980.25,44.5,-47.18,-17.17,44.5,1
80,302022.58,174356,1722.25,41.5,-44.26,-30.03,41.5,1
81,302122.58,174356,4692.25,68.5,-68.39,-43.5,68.5,1
82,302222.58,174356,2756.25,52.5,-56.47,-38.11,52.5,1
83,302322.58,174356,1560.25,39.5,-21.39,18.01,39.5,1
84,302422.58,174356,132.25,11.5,14.87,-27.56,11.5,0
85,302522.58,174356,756.25,27.5,26.73,25.66,27.5,0
86,302622.58,174356,1122.25,33.5,30.89,4.58,33.5,0
87,302722.58,174356,210.25,14.5,14.71,19.01,14.5,0
88,302822.58,174356,210.25,14.5,10.9,29.58,14.5,0
89,302922.58,174356,1056.25,32.5,-30.14,-43.48,32.5,0
90,303022.58,174356,506.25,22.5,-24.93,-39.57,22.5,0
91,303122.58,174356,72.25,8.5,-9.29,-25.99,8.5,0
92,303222.58,174356,12.25,3.5,3.62,-9.15,3.5,0
93,303322.58,174356,1560.25,39.5,-40.16,-8.14,39.5,1
94,301422.58,174456,2550.25,50.5,-48.72,-14.4,50.5,1
95,301522.58,174456,1482.25,38.5,-41.91,-39.85,38.5,1
96,301622.58,174456,1332.25,36.5,-30.56,-17.99,36.5,0
97,301722.58,174456,1560.25,39.5,-36.36,9.96,39.5,1
98,301822.58,174456,1122.25,33.5,-34.08,-17.7,33.5,0
99,301922.58,174456,1560.25,39.5,-40.21,-33.02,39.5,1
100,302022.58,174456,1640.25,40.5,-37.52,16.57,40.5,1
101,302122.58,174456,3782.25,61.5,-58.02,29.5,61.5,1
102,302222.58,174456,3080.25,55.5,-62.86,59.54,55.5,1
103,302322.58,174456,2550.25,50.5,-51.41,24.03,50.5,1
104,302422.58,174456,56.25,7.5,-6.22,-36.19,7.5,0
105,302522.58,174456,156.25,12.5,14.88,-44.32,12.5,0
106,302622.58,174456,506.25,22.5,16.69,-12.11,22.5,0
107,302722.58,174456,56.25,7.5,-1.31,-4.5,7.5,0
108,302822.58,174456,272.25,16.5,-17.63,-1.5,16.5,0
109,302922.58,174456,1190.25,34.5,-29.68,-2.42,34.5,0
110,303022.58,174456,2.25,1.5,-4.85,-5.46,1.5,0
111,303122.58,174456,56.25,7.5,7.22,-9.41,7.5,0
112,303222.58,174456,1056.25,32.5,-30.51,-24.3,32.5,0
113,303322.58,174456,650.25,25.5,22.6,1.94,25.5,0
114,301322.58,174556,2550.25,50.5,-52.33,21.69,50.5,1
115,301422.58,174556,1806.25,42.5,-42.66,17.5,42.5,1
116,301522.58,174556,2070.25,45.5,-48.79,14.89,45.5,1
117,301622.58,174556,2550.25,50.5,-46.36,-48.58,50.5,1
118,301722.58,174556,2070.25,45.5,-44.7,-25.95,45.5,1
119,301822.58,174556,1892.25,43.5,-42.69,3,43.5,1
120,301922.58,174556,1056.25,32.5,-28.54,2.9,32.5,0
121,302022.58,174556,1806.25,42.5,-35.59,3.02,42.5,1
122,302122.58,174556,1056.25,32.5,-40.63,-14.65,32.5,0
123,302222.58,174556,2862.25,53.5,-49.54,6.74,53.5,1
124,302322.58,174556,2352.25,48.5,-50.53,24.82,48.5,1
125,302422.58,174556,210.25,14.5,-17.94,-14.16,14.5,0
126,302522.58,174556,870.25,29.5,-17.78,20.95,29.5,0
127,302622.58,174556,56.25,7.5,-11.96,20.97,7.5,0
128,302722.58,174556,1482.25,38.5,-36.12,2.51,38.5,1
129,302822.58,174556,1056.25,32.5,-32.86,-53.62,32.5,0
130,302922.58,174556,132.25,11.5,-6.78,-53.34,11.5,0
131,303022.58,174556,56.25,7.5,10.13,-31.47,7.5,0
132,303122.58,174556,2256.25,47.5,-41.39,-22.63,47.5,1
133,303222.58,174556,42.25,6.5,-1.21,-9.56,6.5,0
134,303322.58,174556,240.25,15.5,9.51,2.71,15.5,0
135,303522.58,174556,1722.25,41.5,40.55,1.06,41.5,1
136,301222.58,174656,2652.25,51.5,-51.47,2.79,51.5,1
137,301322.58,174656,1980.25,44.5,-44.93,-10.74,44.5,1
138,301422.58,174656,1332.25,36.5,-34.87,-7.32,36.5,0
139,301522.58,174656,1806.25,42.5,-41.32,-4.23,42.5,1
140,301622.58,174656,1560.25,39.5,-37.31,1.37,39.5,1
141,301722.58,174656,2756.25,52.5,-50.17,-17.22,52.5,1
142,301822.58,174656,1406.25,37.5,-32.83,19.52,37.5,1
143,301922.58,174656,870.25,29.5,-17.03,1.19,29.5,0
144,302022.58,174656,306.25,17.5,-21.26,10.6,17.5,0
145,302122.58,174656,1190.25,34.5,-29.97,16.94,34.5,0
146,302222.58,174656,420.25,20.5,-25.32,-57.32,20.5,0
147,302322.58,174656,2352.25,48.5,-43.5,-40.93,48.5,1
148,302422.58,174656,2862.25,53.5,-53.93,-42.19,53.5,1
149,302522.58,174656,2450.25,49.5,-55.85,-37.5,49.5,1
150,302622.58,174656,2756.25,52.5,-52.7,-29.7,52.5,1
151,302722.58,174656,2256.25,47.5,-38.08,-23.96,47.5,1
152,302822.58,174656,110.25,10.5,-14.67,-7.3,10.5,0
